"district","year86","year90","Region","Rich"
"Islands",290,293,"NT",FALSE
"Sai_Kung",365,1026,"NT",FALSE
"Tai_Po",1033,1496,"NT",FALSE
"North",1074,1211,"NT",FALSE
"Yuen_Long",1545,1664,"NT",FALSE
"Tuen_Mun",3611,4711,"NT",FALSE
"Tsuen_Wan",4159,4581,"NT",FALSE
"Sha_Tin",5402,7378,"NT",FALSE
"Southern",6380,6701,"HK",FALSE
"Wan_Chai",20182,18209,"HK",TRUE
"Central/West",20854,20479,"HK",TRUE
"Kwai_Tsing",21464,21158,"KL",TRUE
"Eastern",27387,30316,"KL",TRUE
"Yau_Tsim",45355,33232,"KL",TRUE
"Wong_Tai_Sin",46940,41331,"KL",TRUE
"Kowloon_City",47156,41759,"KL",TRUE
"Sham_Shui_Po",56875,48822,"KL",TRUE
"Kwun_Tong",60826,52562,"KL",TRUE
"Mong_Kok",142718,116531,"KL",TRUE
